mitigation,fair_baseline_method,reference_target,mean_abs_err_vs_reference,mean_abs_err_vs_exact,mean_rel_improve_vs_fair_baseline,mean_acceptance,min_accepted_shots,min_qpu_shots_needed,any_qpu_ready
postselection,baseline_ST2_k2_raw_vs_noiseless_ST2_k2,noiseless_ST2_k2,0.009486763776721974,0.09491055161051691,0.8593771379641089,0.69189453125,703,1356,True
MPF,baseline_ST2_k3_raw_control_vs_exact,exact_dynamics,0.14193700704975606,0.14193700704975606,-1.3946884492589648,1.0,2048,10748,False
