method,primitive,resilience_level,z0_est,z0_exact,z0_noiseless_st2k2,shots,acceptance,accepted_shots,abs_err_vs_exact,abs_err_vs_noiseless_st2k2
resilience_0,EstimatorV2,0.0,0.729248046875,0.6845639601747561,0.7845829417302326,8192,1.0,,0.04468408670024393,0.055334894855232575
resilience_1,EstimatorV2,1.0,0.7322452580502867,0.6845639601747561,0.7845829417302326,8192,1.0,,0.04768129787553066,0.052337683679945846
resilience_2,EstimatorV2,2.0,0.756893787856155,0.6845639601747561,0.7845829417302326,8192,1.0,,0.07232982768139895,0.027689153874077554
vanilla_sampler,SamplerV2,,0.6865234375,0.6845639601747561,0.7845829417302326,8192,1.0,,0.00195947732524393,0.09805950423023257
postselection,SamplerV2,,0.7807684805929394,0.6845639601747561,0.7845829417302326,8192,0.6258544921875,5127.0,0.09620452041818328,0.0038144611372932236
