requirement,observable,points,mean_abs_err,max_abs_err,max_two_q,all_within_hard_constraints
context,Z0,2,0.053783838274442386,0.07184110290814849,90,True
guide_1g,Z0,1,0.11201519020316342,0.11201519020316342,90,True
pdf_1h,Z0Z1,3,0.10369378456437604,0.17867046593945457,90,True
pdf_1h,Z1,3,0.07129876473386836,0.1392169270962712,90,True
