pair,expected_ratio_second_order,epsilon_A_ratio,epsilon_state_ratio,state_infidelity_ratio
1_to_2,4.0,8.27173473222092,4.3269418309279875,14.379984111607758
2_to_4,4.0,4.411175852487913,4.304342216357295,18.300782048010014
