method,comparison_role,observable,obs_estimate,obs_exact,z1_estimate,z1_exact,z0z1_estimate,z0z1_exact,fair_baseline_method,acceptance,accepted_shots,abs_err_vs_exact,fair_baseline_error,rel_error_improvement_vs_fair_baseline
baseline_ST2_k2_noiseless,postselection_reference,Z0,0.7845829417302326,0.6845639601747561,0.9936207920412072,0.9912671465636668,0.7782037337714536,0.6758311067384228,self,,,0.1000189815554765,0.1000189815554765,
baseline_ST2_k3_noiseless,MPF_same_max_depth_control,Z0,0.7281883834189886,0.6845639601747561,0.9924511118813515,0.9912671465636668,0.7206394953003445,0.6758311067384228,self,,,0.043624423244232546,0.043624423244232546,
postselection_ST2_k2_clean_control,postselection_clean_inert_control,Z0,0.7845829417302326,0.6845639601747561,0.9936207920412072,0.9912671465636668,0.7782037337714536,0.6758311067384228,baseline_ST2_k2_noiseless,1.0,all,0.1000189815554765,0.1000189815554765,
MPF23_noiseless,MPF_vs_ST2_k3_control,Z0,0.6830727367699935,0.6845639601747561,0.9915153677534668,0.9912671465636668,0.6745881045234572,0.6758311067384228,baseline_ST2_k3_noiseless,,,0.0014912234047625983,0.043624423244232546,0.9658167766158433
