method,primitive,points,min_N,max_N,mean_abs_err,max_abs_err,max_two_q,all_within_2q_budget
resilience_0,EstimatorV2,6,12,52,0.01994358567102585,0.02834656794978363,390,True
vanilla_sampler,SamplerV2,6,12,52,0.010501364062610097,0.030299692949784296,390,True
