method,available,depth,total_gates,two_qubit_gates,cx_count,note,unitary_match
standard_ST2_k3_opt3,True,43,195,63,63,"Qiskit standard transpilation, opt=3",
rustiq_ST2_k3_opt3,True,234,372,208,208,synth_pauli_network_rustiq on the same ST2_k3 Pauli rotation sequence,True
