requirement,time,N,reps,observable,obs_exact,backend,depth,two_q,two_q_depth,within_hard_constraints,primitive,resilience_level,shots,obs_estimate,abs_err_vs_exact,standard_error,runtime_sec_total
context,0.5,12,2,Z0,0.8997458345693597,ibm_miami,63,90,15,True,EstimatorV2,2,8192,0.8279047316612113,0.07184110290814849,0.013159880389884462,1662.5065271249914
pdf_1h,0.5,12,2,Z0Z1,0.23452287961761276,ibm_miami,63,90,15,True,EstimatorV2,2,8192,0.2595812209535224,0.025058341335909617,0.03363893501016604,1662.5065271249914
pdf_1h,0.5,12,2,Z1,0.334777045048253,ibm_miami,63,90,15,True,EstimatorV2,2,8192,0.40781565612507953,0.07303861107682652,0.007186505775485326,1662.5065271249914
guide_1g,1.0,12,2,Z0,0.6845639601747561,ibm_miami,62,90,15,True,EstimatorV2,2,8192,0.7965791503779195,0.11201519020316342,0.03428618463280405,1662.5065271249914
pdf_1h,1.0,12,2,Z0Z1,0.6758311067384228,ibm_miami,62,90,15,True,EstimatorV2,2,8192,0.7831836531561868,0.10735254641776393,0.05614493034371556,1662.5065271249914
pdf_1h,1.0,12,2,Z1,0.9912671465636668,ibm_miami,62,90,15,True,EstimatorV2,2,8192,0.9896263905351594,0.0016407560285073286,0.003060210903409652,1662.5065271249914
context,1.5,12,2,Z0,0.9539526359368348,ibm_miami,68,90,15,True,EstimatorV2,2,8192,0.989679209577571,0.03572657364073628,0.01287306999076154,1662.5065271249914
pdf_1h,1.5,12,2,Z0Z1,0.7987176827702065,ibm_miami,68,90,15,True,EstimatorV2,2,8192,0.9773881487096611,0.17867046593945457,0.020484608513575205,1662.5065271249914
pdf_1h,1.5,12,2,Z1,0.8447650468333716,ibm_miami,68,90,15,True,EstimatorV2,2,8192,0.9839819739296428,0.1392169270962712,0.008701665165071431,1662.5065271249914
