stage,z0_value,reference,physical_shots,accepted_shots,acceptance,error_vs_exact,error_vs_noiseless_ST2_k2,trotter_bias_noiseless_minus_exact,noise_bias_raw_minus_noiseless,noise_bias_postselected_minus_noiseless,postselection_noise_error_improvement_factor,postselection_shot_overhead_factor,noise_label,shots_per_circuit
exact_dynamics,0.6845639601747561,ground truth,0,,,0.0,0.1000189815554765,0.1000189815554765,-0.059729426105232575,-0.009713831782588556,6.148904720822311,1.4296684118673648,heron_prior,8192
noiseless_ST2_k2,0.7845829417302326,Trotter-only,0,,1.0,0.1000189815554765,0.0,0.1000189815554765,-0.059729426105232575,-0.009713831782588556,6.148904720822311,1.4296684118673648,heron_prior,8192
noisy_raw_ST2_k2,0.724853515625,raw hardware/noisy simulator,8192,8192.0,1.0,0.04028955545024393,0.059729426105232575,0.1000189815554765,-0.059729426105232575,-0.009713831782588556,6.148904720822311,1.4296684118673648,heron_prior,8192
noisy_postselected_ST2_k2,0.774869109947644,post-selected hardware/noisy simulator,8192,5730.0,0.699462890625,0.09030514977288795,0.009713831782588556,0.1000189815554765,-0.059729426105232575,-0.009713831782588556,6.148904720822311,1.4296684118673648,heron_prior,8192
