setting,formula,order,reps,depth,CX,two_qubit_depth,eps_state_t0p5,eps_Z1_t0p5,eps_Z0Z1_t0p5,mean_infid_t_le_2,max_infid_t_le_2,t_star_1e_minus_2
LT_k1,LieTrotter,1,1,13,18,6,0.801572188087248,0.029720112508847596,0.36715430373369246,0.7174132898884562,0.9981087156150785,0.15
ST2_k1,SuzukiTrotter,2,1,19,27,9,0.4797731313492223,0.011006081428908021,0.39736075455288494,0.663985758665542,0.9998054339674766,0.25
ST4_k1,SuzukiTrotter,4,1,67,99,33,0.010905355581120157,0.0002979069020831032,0.02026488669947979,0.4026863740642784,0.9711180939593329,0.5
LT_k2,LieTrotter,1,2,25,36,12,0.2194966639198126,0.0241825312729508,0.0016026606745634941,0.5915153282701099,0.9960509916379342,0.15
ST2_k2,SuzukiTrotter,2,2,31,45,15,0.02392290784383977,0.034235481207832374,0.09620222527314781,0.4800083122700257,0.9939960516477051,0.4
ST4_k2,SuzukiTrotter,4,2,127,189,63,7.749436978343738e-06,0.0005519152771003011,0.0008308318968688333,0.12131040240825405,0.42979864470280005,0.95
LT_k3,LieTrotter,1,3,37,54,18,0.09933475239988598,0.01171731911514147,0.031044622818156786,0.44740181169255516,0.9798718482688318,0.2
ST2_k3,SuzukiTrotter,2,3,43,63,21,0.004471092345264882,0.01769003743223395,0.0422314633367219,0.34605229637522716,0.9556496447348916,0.65
ST4_k3,SuzukiTrotter,4,3,187,279,93,2.7887346265575985e-07,0.00013100839913267326,0.0001529076263214746,0.07496142070790439,0.5587574498484299,1.45
