reps,formula,observable,obs_noiseless_pf,z1_noiseless_pf,z0z1_noiseless_pf,abs_trotter_err,depth,two_q,two_q_depth
2,ST2_k2,Z0,0.7845829417302326,0.9936207920412072,0.7782037337714536,0.1000189815554765,31,90,15
3,ST2_k3,Z0,0.7281883834189886,0.9924511118813515,0.7206394953003445,0.043624423244232546,43,126,21
