r,N,time,reps,z0_exact,z0_noiseless_pf,abs_trotter_err,depth,two_q,sv_feasible
1,12,1.0,2,0.6845639601747561,0.7845829417302327,0.10001898155547662,31,90,True
2,20,1.0,2,0.6845440570513495,0.7845829417302258,0.10003888467887634,31,150,True
3,28,1.0,2,0.6845440570502197,,,31,210,False
4,36,1.0,2,0.6845440570502259,,,31,270,False
5,44,1.0,2,0.6845440570502157,,,31,330,False
6,52,1.0,2,0.6845440570502164,,,31,390,False
