method,circuits,shot_multiplier,epsilon_A,epsilon_state,state_infidelity,state_norm,A_real,A_imag,A_exact_real,A_exact_imag,depth,two_q,two_q_depth,fair_single_circuit_control,epsilon_A_improvement_factor_vs_ST2_k3,epsilon_state_improvement_factor_vs_ST2_k3
ST2_k2_noiseless,1,1.0,0.06894750484283561,0.2273164783008848,0.05100526222511392,0.9999999999999932,0.3231644869189264,-0.057212267297354284,0.3910562576249735,-0.06923166388996115,31,90,15,ST2_k3_noiseless,,
ST2_k3_noiseless,1,1.0,0.02848323133480103,0.09580339844032215,0.009157230895594615,0.9999999999999978,0.36300916563582014,-0.06426627385253592,0.3910562576249735,-0.06923166388996115,43,126,21,ST2_k3_noiseless,,
MPF23_noiseless,2,2.0,0.003888187471626577,0.02565323800064794,0.0004915905522125952,1.0126575875342694,0.39488490860933506,-0.06990947909668122,0.3910562576249735,-0.06923166388996115,43,216,21,ST2_k3_noiseless,7.325580760355006,3.7345538383069767
